KIC,TIC
7123115,270526010
10071339,159392115
9775564,270789771
1717285,122508453
11803858,405684080
8211259,123313321
6109619,121016623
9350690,271426320
5535333,137555844
5709226,137899661
3730378,120692475
11760695,407000207
6525209,137757798
4861030,169932253
8313215,272370246
10130235,158413647
9084272,159223428
6946519,159652751
8430762,63010462
10161090,273876590
8417152,279913762
6843652,164730411
7699047,272716101
8296033,159441816
5083626,120895718
8189297,268302135
5942715,120422093
5112157,139154499
7831072,271159282
6792133,271961044
10449862,123358747
5370950,138641642
11912305,290033235
5558275,170240710
2718392,137685833
6632796,274032576
9166070,272084737
7707805,268297054
6034033,121796462
10776740,48030347
4902199,350988962
12024267,28083250
12159104,26413259
2448382,137684969
2140651,120694681
3425147,120500244
8672452,164554417
2860182,137976998
7818320,159443270
5458878,138725963
6633766,274118545
5352111,121660031
12600437,299217478
10753394,416528820
7097965,164728985
4284369,184555321
4489340,169456151
12023559,27911869
8354657,158420739
11019028,405685606
5801629,138962829
10959162,48031542
9655187,270957464
5708958,137899772
12120915,351193711
9166818,272366745
9941066,158272820
10089264,272839380
